School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disabled,Disability Type,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,Emotional Disturbance,,,
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Developmental Delay,12,,12
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,13,,13
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,29,,29
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,Other Health Impairments,12,,12
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Emotional Disturbance,22,,22
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Other Health Impairments,39,,39
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,Specific Learning Disabilities,83,,83
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,21,,21
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,13,,13
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,12,,12
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,12,,12
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Hearing Impairments,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,20,,20
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,13,,13
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,13,,13
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,Developmental Delay,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Developmental Delay,13,,13
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Speech or Language Impairments,11,,11
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Specific Learning Disabilities,12,<,13
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,Orthopedic Impairments,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,Emotional Disturbance,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,Other Health Impairments,17,,17
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,Specific Learning Disabilities,37,,37
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,Autism,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Multiple Disabilities,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Speech or Language Impairments,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Specific Learning Disabilities,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,Other Health Impairments,<,,<
