fall_membership_statistics (1),,,,,,,,,,
School Year,Level,Division Number,Division Name,School Number,School Name,Race,Disadvantaged,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"Black, not of Hispanic origin",Y,33,,33
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,36,,36
2005-2006,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,135,,135
2005-2006,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,70,,70
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"Black, not of Hispanic origin",Y,12,,12
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,"White, not of Hispanic origin",Y,22,,22
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"Black, not of Hispanic origin",Y,25,,25
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,"White, not of Hispanic origin",Y,48,,48
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,22,,22
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"Black, not of Hispanic origin",Y,27,,27
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,45,,45
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,42,,42
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,"White, not of Hispanic origin",Y,31,,31
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,"White, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,47,,47
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,22,,22
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"Black, not of Hispanic origin",Y,10,,10
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,58,,58
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"Black, not of Hispanic origin",Y,44,,44
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,"White, not of Hispanic origin",Y,91,,91
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,116,,116
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,31,,31
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,"White, not of Hispanic origin",Y,11,,11
2005-2006,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,75,,75
2005-2006,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,121,,121
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"Black, not of Hispanic origin",Y,48,,48
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,"White, not of Hispanic origin",Y,48,,48
2005-2006,School,2,Albemarle County,890,Murray High,"Black, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,<,,<
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,44,,44
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,62,,62
