School.Year,Division.Number,Division.Name,Subject,Race,Test.Level,Test.Source,Test,Pass.Count,Total.Count,Pass.Rate
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,56,85,65.88
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,79,114,69.3
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,603,667,90.4
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,626,707,88.54
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,84,128,65.63
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,63,149,42.28
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,112,129,86.82
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,101,127,79.53
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,29,43,67.44
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,32,51,62.75
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,180,229,78.6
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,172,212,81.13
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,13,19,68.42
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,13,26,50
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,139,171,81.29
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,126,169,74.56
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,40,60,66.67
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,63,97,64.95
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,178,204,87.25
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,192,243,79.01
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,15,17,88.24
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,21,29,72.41
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,81,93,87.1
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,85,99,85.86
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,79,128,61.72
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,67,124,54.03
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,605,681,88.84
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,630,716,87.99
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,70,108,64.81
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,50,139,35.97
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,111,120,92.5
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,<,<,>50
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,85,96,88.54
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,27,46,58.7
