School Year,Division Number,Division Name,Subject,Race,Test Level,Test Source,Test,Total Count,Pass Rate
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,85,65.88
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,100,74
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,112,81.25
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,124,69.35
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,129,72.09
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,117,67.52
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,667,90.4
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,664,95.03
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,678,95.13
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,729,92.73
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,727,91.61
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,710,88.31
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 3,SOL,English Reading,128,65.63
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 4,SOL,English Reading,143,80.42
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 5,SOL,English Reading,97,68.04
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 6,SOL,English Reading,124,52.42
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 7,SOL,English Reading,172,32.56
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",Grade 8,SOL,English Reading,151,41.72
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 3,SOL,English Reading,129,86.82
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 4,SOL,English Reading,107,98.13
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 5,SOL,English Reading,123,86.99
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 6,SOL,English Reading,122,88.52
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 7,SOL,English Reading,111,79.28
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",Grade 8,SOL,English Reading,129,78.29
