School Year,Division Number,Division Name,Subject,Race,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,586,796,73.62
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,597","4,972",92.46
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,583,805,72.42
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,471","4,862",91.96
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,611,797,76.66
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,590","4,887",93.92
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,663,814,81.45
2008-2009,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,639","4,855",95.55
2009-2010,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,664,842,78.86
2009-2010,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,668","4,915",94.97
2010-2011,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,610,782,78.01
2010-2011,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,593","4,877",94.18
2011-2012,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,569,766,74.28
2011-2012,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,466","4,760",93.82
2012-2013,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,387,722,53.60
2012-2013,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,031","4,768",84.54
2013-2014,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,370,704,52.56
2013-2014,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"3,959","4,684",84.52
2014-2015,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,365,704,51.85
2014-2015,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,044","4,691",86.21
2015-2016,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,406,756,53.70
2015-2016,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,022","4,643",86.63
2016-2017,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,407,721,56.45
2016-2017,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,020","4,602",87.35
2017-2018,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,404,746,54.16
2017-2018,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,115","4,749",86.65
2018-2019,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,408,770,52.99
2018-2019,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,134","4,787",86.36
