School Year,Division Number,Division Name,Subject,Race,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,364,525,69.33
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,392","1,652",84.26
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,345,512,67.38
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,473","1,758",83.79
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,377,478,78.87
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,494","1,681",88.88
2008-2009,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,377,465,81.08
2008-2009,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,487","1,632",91.12
2009-2010,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,356,440,80.91
2009-2010,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,496","1,650",90.67
2010-2011,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,366,487,75.15
2010-2011,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,549","1,755",88.26
2011-2012,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,385,473,81.40
2011-2012,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,497","1,687",88.74
2012-2013,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,240,442,54.30
2012-2013,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,305","1,685",77.45
2013-2014,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,265,452,58.63
2013-2014,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,390","1,786",77.83
2014-2015,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,322,480,67.08
2014-2015,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,432","1,759",81.41
2015-2016,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,284,440,64.55
2015-2016,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,467","1,752",83.73
2016-2017,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,260,398,65.33
2016-2017,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,398","1,731",80.76
2017-2018,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,267,415,64.34
2017-2018,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,423","1,769",80.44
2018-2019,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,255,402,63.43
2018-2019,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,455","1,806",80.56
