School Year,Level,Division Number,Division Name,School Number,School Name,Subject,Grade,Test Level,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,School,2,Albemarle County,160,Agnor-Hurt Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,57,78.95
2005-2006,School,2,Albemarle County,1053,Baker-Butler Elementary,English:Reading,3,Grade 3,SOL,English Reading,72,81,88.89
2005-2006,School,2,Albemarle County,900,Benjamin F. Yancey Elementary,English:Reading,3,Grade 3,SOL,English Reading,17,27,62.96
2005-2006,School,2,Albemarle County,100,Broadus Wood Elementary,English:Reading,3,Grade 3,SOL,English Reading,46,53,86.79
2005-2006,School,2,Albemarle County,941,Brownsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,54,63,85.71
2005-2006,School,2,Albemarle County,340,Crozet Elementary,English:Reading,3,Grade 3,SOL,English Reading,63,66,95.45
2005-2006,School,2,Albemarle County,10,Hollymead Elementary,English:Reading,3,Grade 3,SOL,English Reading,67,71,94.37
2005-2006,School,2,Albemarle County,950,Jack Jouett Middle,English:Reading,8,Grade 8,SOL,English Reading,148,169,87.57
2005-2006,School,2,Albemarle County,69,Jackson P. Burley Middle,English:Reading,8,Grade 8,SOL,English Reading,92,106,86.79
2005-2006,School,2,Albemarle County,942,Joseph T. Henley Middle,English:Reading,8,Grade 8,SOL,English Reading,198,237,83.54
2005-2006,School,2,Albemarle County,20,Leslie H. Walton Middle,English:Reading,8,Grade 8,SOL,English Reading,131,164,79.88
2005-2006,School,2,Albemarle County,40,Mary Carr Greer Elementary,English:Reading,3,Grade 3,SOL,English Reading,38,43,88.37
2005-2006,School,2,Albemarle County,250,Meriwether Lewis Elementary,English:Reading,3,Grade 3,SOL,English Reading,59,60,98.33
2005-2006,School,2,Albemarle County,1051,Mortimer Y. Sutherland Middle,English:Reading,8,Grade 8,SOL,English Reading,201,210,95.71
2005-2006,School,2,Albemarle County,150,Paul H. Cale Elementary,English:Reading,3,Grade 3,SOL,English Reading,62,71,87.32
2005-2006,School,2,Albemarle County,540,Red Hill Elementary,English:Reading,3,Grade 3,SOL,English Reading,17,20,85.00
2005-2006,School,2,Albemarle County,30,Scottsville Elementary,English:Reading,3,Grade 3,SOL,English Reading,23,27,85.19
2005-2006,School,2,Albemarle County,920,Stone Robinson Elementary,English:Reading,3,Grade 3,SOL,English Reading,53,64,82.81
2005-2006,School,2,Albemarle County,240,Stony Point Elementary,English:Reading,3,Grade 3,SOL,English Reading,27,31,87.10
2005-2006,School,2,Albemarle County,910,Virginia L. Murray Elementary,English:Reading,3,Grade 3,SOL,English Reading,45,46,97.83
2005-2006,School,2,Albemarle County,930,Woodbrook Elementary,English:Reading,3,Grade 3,SOL,English Reading,43,45,95.56
2005-2006,Division,2,Albemarle County,,,English:Reading,3,Grade 3,SOL,English Reading,732,833,87.88
2005-2006,Division,2,Albemarle County,,,English:Reading,8,Grade 8,SOL,English Reading,771,891,86.53
2005-2006,School,104,Charlottesville City,100,Buford Middle,English:Reading,8,Grade 8,SOL,English Reading,176,291,60.48
2005-2006,School,104,Charlottesville City,70,Burnley-Moran Elementary,English:Reading,3,Grade 3,SOL,English Reading,42,52,80.77
2005-2006,School,104,Charlottesville City,50,Clark Elementary,English:Reading,3,Grade 3,SOL,English Reading,21,32,65.63
2005-2006,School,104,Charlottesville City,90,Greenbrier Elementary,English:Reading,3,Grade 3,SOL,English Reading,47,54,87.04
