"School Year","Subject","Race","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 3","SOL","English Reading","746","738","262","1,484","1,746","42.73","42.27","15.01","84.99","476"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 4","SOL","English Reading","738","693","168","1,431","1,599","46.15","43.34","10.51","89.49","484"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 5","SOL","English Reading","745","682","157","1,427","1,584","47.03","43.06","9.91","90.09","488"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 6","SOL","English Reading","641","584","166","1,225","1,391","46.08","41.98","11.93","88.07","486"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 7","SOL","English Reading","637","600","193","1,237","1,430","44.55","41.96","13.50","86.50","482"
"2005-2006","English:Reading","Unknown - Race/Ethnicity not provided","Grade 8","SOL","English Reading","450","707","236","1,157","1,393","32.30","50.75","16.94","83.06","460"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 3","SOL","English Reading","113","133","39","246","285","39.65","46.67","13.68","86.32","474"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 4","SOL","English Reading","117","133","36","250","286","40.91","46.50","12.59","87.41","477"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 5","SOL","English Reading","118","144","33","262","295","40.00","48.81","11.19","88.81","482"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 6","SOL","English Reading","104","149","45","253","298","34.90","50.00","15.10","84.90","473"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 7","SOL","English Reading","124","145","50","269","319","38.87","45.45","15.67","84.33","473"
"2005-2006","English:Reading","American Indian or Alaska Native","Grade 8","SOL","English Reading","69","148","50","217","267","25.84","55.43","18.73","81.27","457"
"2005-2006","English:Reading","Asian","Grade 3","SOL","English Reading","1,997","1,774","357","3,771","4,128","48.38","42.97","8.65","91.35","489"
"2005-2006","English:Reading","Asian","Grade 4","SOL","English Reading","2,155","1,722","263","3,877","4,140","52.05","41.59","6.35","93.65","496"
"2005-2006","English:Reading","Asian","Grade 5","SOL","English Reading","2,234","1,605","225","3,839","4,064","54.97","39.49","5.54","94.46","502"
"2005-2006","English:Reading","Asian","Grade 6","SOL","English Reading","2,200","1,626","232","3,826","4,058","54.21","40.07","5.72","94.28","502"
"2005-2006","English:Reading","Asian","Grade 7","SOL","English Reading","2,134","1,706","352","3,840","4,192","50.91","40.70","8.40","91.60","495"
"2005-2006","English:Reading","Asian","Grade 8","SOL","English Reading","1,502","2,185","512","3,687","4,199","35.77","52.04","12.19","87.81","472"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 3","SOL","English Reading","4,881","10,692","5,733","15,573","21,306","22.91","50.18","26.91","73.09","440"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 4","SOL","English Reading","5,522","11,293","4,704","16,815","21,519","25.66","52.48","21.86","78.14","449"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 5","SOL","English Reading","5,106","12,004","4,929","17,110","22,039","23.17","54.47","22.36","77.64","450"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 6","SOL","English Reading","4,132","12,432","6,796","16,564","23,360","17.69","53.22","29.09","70.91","436"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 7","SOL","English Reading","4,667","12,278","7,548","16,945","24,493","19.05","50.13","30.82","69.18","434"
"2005-2006","English:Reading","Black, not of Hispanic origin","Grade 8","SOL","English Reading","2,771","12,740","8,627","15,511","24,138","11.48","52.78","35.74","64.26","421"
"2005-2006","English:Reading","Hispanic","Grade 3","SOL","English Reading","1,490","2,831","1,008","4,321","5,329","27.96","53.12","18.92","81.08","454"
"2005-2006","English:Reading","Hispanic","Grade 4","SOL","English Reading","1,616","2,985","835","4,601","5,436","29.73","54.91","15.36","84.64","461"
"2005-2006","English:Reading","Hispanic","Grade 5","SOL","English Reading","1,765","3,004","821","4,769","5,590","31.57","53.74","14.69","85.31","466"
"2005-2006","English:Reading","Hispanic","Grade 6","SOL","English Reading","1,460","3,047","1,062","4,507","5,569","26.22","54.71","19.07","80.93","455"
"2005-2006","English:Reading","Hispanic","Grade 7","SOL","English Reading","1,286","2,766","1,279","4,052","5,331","24.12","51.89","23.99","76.01","446"
"2005-2006","English:Reading","Hispanic","Grade 8","SOL","English Reading","750","2,927","1,671","3,677","5,348","14.02","54.73","31.25","68.75","426"
"2005-2006","English:Reading","White, not of Hispanic origin","Grade 3","SOL","English Reading","23,452","20,619","5,629","44,071","49,700","47.19","41.49","11.33","88.67","485"
"2005-2006","English:Reading","White, not of Hispanic origin","Grade 4","SOL","English Reading","25,202","20,680","4,666","45,882","50,548","49.86","40.91","9.23","90.77","491"
"2005-2006","English:Reading","White, not of Hispanic origin","Grade 5","SOL","English Reading","26,159","21,080","4,322","47,239","51,561","50.73","40.88","8.38","91.62","496"
"2005-2006","English:Reading","White, not of Hispanic origin","Grade 6","SOL","English Reading","24,291","22,470","5,656","46,761","52,417","46.34","42.87","10.79","89.21","489"
"2005-2006","English:Reading","White, not of Hispanic origin","Grade 7","SOL","English Reading","24,922","22,168","6,485","47,090","53,575","46.52","41.38","12.10","87.90","487"
