School Year,Level,Division Number,Division Name,School Number,School Name,Race,Foster Care,Full Time Count (All Grades),Part Time Count (All Grades),Total Count
2016-2017,School,2,Albemarle County,160,Agnor-Hurt Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,1060,Albemarle County Community Public Charter,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,880,Albemarle High,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,2,Albemarle County,880,Albemarle High,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,100,Broadus Wood Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,941,Brownsville Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,340,Crozet Elementary,"White, not of Hispanic origin",Y,2,,2
2016-2017,School,2,Albemarle County,69,Jackson P. Burley Middle,"Black, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,69,Jackson P. Burley Middle,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,942,Joseph T. Henley Middle,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,40,Mary Carr Greer Elementary,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,2,Albemarle County,40,Mary Carr Greer Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,1052,Monticello High,"Black, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,1052,Monticello High,"White, not of Hispanic origin",Y,2,,2
2016-2017,School,2,Albemarle County,890,Murray High,"White, not of Hispanic origin",Y,1,1,2
2016-2017,School,2,Albemarle County,150,Paul H. Cale Elementary,"Black, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,150,Paul H. Cale Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,2,Albemarle County,140,Western Albemarle High,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,2,Albemarle County,930,Woodbrook Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,Division,2,Albemarle County,,,"Black, not of Hispanic origin",Y,9,,9
2016-2017,Division,2,Albemarle County,,,"White, not of Hispanic origin",Y,15,1,16
2016-2017,School,104,Charlottesville City,100,Buford Middle,"White, not of Hispanic origin",Y,1,,1
2016-2017,School,104,Charlottesville City,70,Burnley-Moran Elementary,"White, not of Hispanic origin",Y,3,,3
2016-2017,School,104,Charlottesville City,140,Charlottesville High,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,104,Charlottesville City,140,Charlottesville High,"White, not of Hispanic origin",Y,6,,6
2016-2017,School,104,Charlottesville City,50,Clark Elementary,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,104,Charlottesville City,90,Greenbrier Elementary,"Black, not of Hispanic origin",Y,2,,2
2016-2017,School,104,Charlottesville City,110,Walker Upper Elementary,"Black, not of Hispanic origin",Y,1,,1
2016-2017,School,104,Charlottesville City,110,Walker Upper Elementary,"White, not of Hispanic origin",Y,1,,1
2016-2017,Division,104,Charlottesville City,,,"Black, not of Hispanic origin",Y,7,,7
2016-2017,Division,104,Charlottesville City,,,"White, not of Hispanic origin",Y,11,,11
2016-2017,School,32,Fluvanna County,300,Carysbrook Elementary,"Black, not of Hispanic origin",Y,1,,1
2016-2017,School,32,Fluvanna County,300,Carysbrook Elementary,"White, not of Hispanic origin",Y,3,,3
2016-2017,School,32,Fluvanna County,310,Central Elementary,"White, not of Hispanic origin",Y,2,,2
2016-2017,School,32,Fluvanna County,260,Fluvanna County High,"Black, not of Hispanic origin",Y,3,,3
2016-2017,School,32,Fluvanna County,260,Fluvanna County High,"White, not of Hispanic origin",Y,5,,5
